en;ru;kk;translation_key
Online stores;Интернет магазины;Интернет дүкендер;online_stores
Online stores;Интернет магазины;Интернет дүкендер;online_stores_full
Information portals;Информационные порталы;Ақпараттық порталдар;information_portals
Information portals;Информационные порталы;Ақпараттық порталдар;information_portals_full
Goods by catalogs;Товары по каталогам;Каталогтар бойынша тауарлар;goods_by_catalogs
Goods by catalogs;Товары по каталогам;Каталогтар бойынша тауарлар;goods_by_catalogs_full
Discount projects;Скидочные проекты;Жеңілдікті жобалар;discount_projects
Discount projects;Скидочные проекты;Жеңілдікті жобалар;discount_projects_full
Taxi services;Службы такси;Такси қызметі;taxi_services
Taxi services;Службы такси;Такси қызметі;taxi_services_full
Cargo carriages, delivery;Грузоперевозки, доставка;Жүк тасымалдары, жеткізу;shipping
Cargo carriages, delivery;Грузоперевозки, доставка;Жүк тасымалдары, жеткізу;shipping_full
Hosting;Хостинг;Хостинг;hosting
Hosting;Хостинг;Хостинг;hosting_full
Electronic money;Электронные деньги;Электрондық ақша;electronic_money
Electronic money;Электронные деньги;Электрондық ақша;electronic_money_full
Air tickets;Авиабилеты;Әуе билеттері;flights
Air tickets;Авиабилеты;Әуе билеттері;flights_full
Public services;Госуслуги;Мемқызметтер;state_services
Public services;Госуслуги;Мемқызметтер;state_services_full
Others;Другие;Басқалары;other
Others;Другие;Басқалары;other_full
Coupon services;Купонные сервисы;Купондық сервистер;cuppons
Coupon services;Купонные сервисы;Купондық сервистер;cuppons_full
Cosmetics;Косметика;Косметика;сosmetics
Cosmetics;Косметика;Косметика;сosmetics_full
All;Все;Бәрі;all
All;Все;Бәрі;all_full
Length of sms code;Длина СМС кода;СМС кодтың ұзындығы;property_SMS_PASSWORD_LENGTH
Letter to the client;Письмо клиенту;Клиентке хат;letter_to
Mailing to the user group;Рассылка пользовательской группе;Пайдалану тобына жолдау;letter_distribution
Beeline (Кар-Тел);Beeline (Кар-Тел);Beeline (Кар-Тел);ps_1
Kcell;Kcell;Kcell;ps_2
Activ;Aсtiv;Aсtiv;ps_3
TELE2;TELE2;TELE2;ps_4
Altel;Алтел;Алтел;ps_5
"Kazakhtelecom" JSC;АО "Казахтелеком";"Қазақтелеком" АҚ;ps_6
"2DAY Telecom" LLP (Internet access "Internet at home" by Beeline);ТОО «2DAY Телеком» (Доступ в Интернет «Интернет Дома» от Beeline);"2DAY Телеком"  ЖШС  (Beeline-нан "Интернет Үйде" Интернетіне қол жеткізу);ps_7
"TOPAZ-TELECOM" LLP;ТОО «ТОПАЗ-ТЕЛЕКОМ»; «ТОПАЗ-ТЕЛЕКОМ» ЖШС;ps_8
Twinncom Network;Twinncom Network;Twinncom Network;ps_9
OKTEL;ОКТЕЛ;ОКТЕЛ;ps_10
SA-Telecom fixed communication;СА-Телком фиксированная связь;СА-Телеком тыянақты байланыс;ps_11
Balkhash Electronic city. Internet;Балхаш Электронный Город. Интернет;Балқаш Электронды Қала. Интернет;ps_12
